,avatar_id,activity,conformity,diversity,taste,reason
20,20,가끔봄,균형형,탐험형, I enjoy a mix of classic and modern films.|  I have a preference for a wide range of genres.," I have rated movies from various decades, showing a diverse appreciation for both old and new cinema.|  I have rated movies spanning from drama to comedy, from action to romance, showcasing my eclectic taste in films."
21,21,자주봄,동조형,탐험형, Action-packed thrillers|  Thought-provoking dramas," I enjoy movies with intense action sequences and suspenseful plots, such as Die Hard, Terminator, and Mission: Impossible 2.|  I appreciate movies that delve into complex human emotions and societal issues, like American History X, Schindler's List, and American Beauty."
22,22,가끔봄,동조형,탐험형, Classic Hollywood|  Quirky and Offbeat," I enjoy movies from the golden age of Hollywood, with iconic films like Singin' in the Rain, JFK, and Raiders of the Lost Ark in my top ratings.|  I have a fondness for unconventional and unique films like Being John Malkovich, Eternal Sunshine of the Spotless Mind, and The Sixth Sense that offer a different perspective on storytelling."
23,23,가끔봄,균형형,취향형, I have a preference for classic action and thriller movies.|  I appreciate romantic comedies and dramas with a touch of quirkiness.," I enjoy movies like Lethal Weapon, Terminator, and Robocop, which are known for their intense action sequences and suspenseful plots.|  I love movies like While You Were Sleeping, About Last Night..., and There's Something About Mary, which combine romance with humor and unique storytelling."
24,24,가끔봄,동조형,균형형, Action and Thriller|  Comedy and Dark Humor," I enjoy movies with intense action sequences and suspenseful plots, such as Air Force One, Mad Max, and Patriot Games.|  I appreciate movies that blend humor with darker themes, like Groundhog Day, Animal House, and Fargo."
25,25,가끔봄,균형형,탐험형, Action-packed and Thrilling|  Comedy and Quirky," I enjoy movies with intense action sequences and suspenseful plots, such as Terminator 2: Judgment Day, Die Hard 2, and Lethal Weapon 3.|  I have a soft spot for movies that make me laugh and have unique, offbeat humor like There's Something About Mary, Nutty Professor II: The Klumps, and Ace Ventura: When Nature Calls."
26,26,많이봄,균형형,탐험형, I have a preference for classic and iconic films.|  I lean towards dark and twisted movies.," I enjoy movies like E.T. the Extra-Terrestrial, The Third Man, and Back to the Future, which are considered timeless classics in the film industry.|  Films like Seven, The Shining, and Silence of the Lambs appeal to me due to their intense and suspenseful storytelling with a darker tone."
27,27,자주봄,균형형,취향형, Action-packed|  Sci-fi and Adventure," I enjoy movies with intense action sequences and thrilling plotlines, such as Terminator 2: Judgment Day, Die Hard, and Predator.|  I have a fondness for movies set in futuristic or otherworldly settings, like Starship Troopers, War of the Worlds, and Jurassic Park."
28,28,가끔봄,균형형,취향형, Classic Comedy Lover|  80s Nostalgia Enthusiast," I enjoy a mix of classic comedies like Caddyshack, Blues Brothers, and Fletch Lives, which have stood the test of time with their humor and memorable characters.|  I have a soft spot for 80s movies like Desperately Seeking Susan, Splash, and Crocodile Dundee, which capture the essence of that era with their unique storytelling and iconic performances."
29,29,가끔봄,동조형,취향형, Action-packed|  Historical and Epic," I enjoy movies with intense action sequences and thrilling plotlines, such as Die Hard 2, Lethal Weapon 3, and Independence Day.|  I appreciate movies set in historical periods with grand storytelling and epic scale, like The Bridge on the River Kwai, The Patriot Games, and Saving Private Ryan."
30,30,자주봄,균형형,탐험형, I enjoy a mix of classic and modern films with a focus on action and adventure.|  I have a soft spot for animated and family-friendly movies with a touch of nostalgia.," I appreciate movies like Terminator, Gladiator, and Star Wars for their thrilling and exciting storylines.|  I love films like Dumbo, Fantasia 2000, and James and the Giant Peach for their heartwarming stories and imaginative animation."
31,31,가끔봄,균형형,균형형, Historical Drama Enthusiast|  Thriller and Suspense Lover," I enjoy movies like Messenger: The Story of Joan of Arc and Gladiator that are based on historical events and characters.|  I appreciate movies like Dead Calm, Taking of Pelham One Two Three, and Gattaca that keep me on the edge of my seat with their suspenseful plots."
32,32,가끔봄,균형형,취향형, Comedy enthusiast|  Romantic movie lover," I have given high ratings to a variety of comedy movies such as Liar Liar, Austin Powers, and Billy Madison, showing my love for humor and light-hearted entertainment.|  I have rated movies like My Best Friend's Wedding, Runaway Bride, and Ghost highly, indicating my appreciation for romantic storylines and emotional connections in films."
33,33,가끔봄,균형형,탐험형, Action and Adventure|  Comedy and Family," I enjoy movies with thrilling action sequences and adventurous storylines, such as Die Hard, Jurassic Park, and Total Recall.|  I have a soft spot for light-hearted comedies and family-friendly films like Mrs. Doubtfire, Happy Gilmore, and The Muppet Christmas Carol."
34,34,자주봄,독립형,취향형, Thrilling and suspenseful|  Heartfelt and emotional, I enjoy movies like Silence of the Lambs and Casino that keep me on the edge of my seat with their intense and suspenseful storylines.|  I have a soft spot for movies like Remember the Titans and A Time to Kill that tug at my heartstrings and leave me feeling deeply moved by their emotional themes.
35,35,자주봄,독립형,취향형, Action-packed|  Thriller/Suspense," I enjoy high-octane movies with intense action sequences and thrilling plotlines.|  I am drawn to movies with suspenseful elements, unexpected twists, and edge-of-your-seat excitement."
36,36,가끔봄,독립형,취향형, Action and Thriller|  Sci-Fi and Fantasy," I enjoy movies with intense action sequences and thrilling plotlines, such as Gladiator, U-571, and Pitch Black.|  I have a fascination with science fiction and fantasy elements, as seen in movies like Jurassic Park, The Lost World: Jurassic Park, and The Patriot."
37,37,많이봄,균형형,탐험형, Classic Film Enthusiast|  Comedy Lover," I have a strong preference for classic films from the 1930s to the 1960s, enjoying timeless movies like ""Roman Holiday,"" ""Dracula,"" and ""12 Angry Men.""|  I have a fondness for comedy films, appreciating a mix of slapstick humor in movies like ""Animal House,"" ""Blazing Saddles,"" and ""Groundhog Day."""
38,38,가끔봄,균형형,균형형," I enjoy a mix of action, comedy, and drama movies.|  I appreciate classic and mystery films."," I have rated movies like Galaxy Quest, Payback, and Remember the Titans, which fall into these genres.|  Movies like Maltese Falcon and Bell, Book and Candle, which I rated highly, are classic and mystery genres."
39,39,가끔봄,균형형,균형형, Action and Thriller|  Mystery and Crime," I enjoy movies with high adrenaline action sequences and suspenseful plots, such as Gone in 60 Seconds and X-Men.|  I appreciate movies with intricate storylines and unexpected twists, like The Usual Suspects and Erin Brockovich."
40,40,가끔봄,균형형,취향형, Classic Musical Lover|  Romantic Drama Enthusiast," I enjoy musical movies from different eras, such as Oliver!, Top Hat, and The King and I.|  I have a soft spot for romantic dramas like Titanic, Romeo and Juliet, and Ever After: A Cinderella Story."
41,41,가끔봄,균형형,취향형, Action and Thriller|  Historical and War," I enjoy movies with intense action sequences and suspenseful plots, like Jurassic Park, Lethal Weapon, and The Fugitive.|  I appreciate movies that delve into historical events and war themes, as seen in Braveheart, Glory, and Star Wars: Episode VI - Return of the Jedi."
42,42,자주봄,균형형,균형형, Sci-Fi and Fantasy Enthusiast|  Action-Adventure Fan, I enjoy movies that transport me to other worlds filled with futuristic technology and magical elements.|  I love movies with thrilling action sequences and epic adventures that keep me on the edge of my seat.
43,43,자주봄,균형형,취향형, Classic and Timeless|  Quirky and Offbeat, I enjoy movies like Casablanca (1942) and Back to the Future (1985) that have stood the test of time and are considered classics in the film industry.|  I have a fondness for movies like This Is Spinal Tap (1984) and Strictly Ballroom (1992) that offer unique and unconventional storytelling with a touch of humor.
44,44,자주봄,독립형,탐험형, I have a preference for classic and timeless movies.|  I appreciate a mix of drama and adventure in movies.," I enjoy movies like Casablanca, The African Queen, and It's a Wonderful Life, which are considered classics in the film industry.|  I enjoy films like Saving Private Ryan, Dead Poets Society, and Indiana Jones and the Last Crusade, which offer a blend of intense drama and thrilling adventures."
45,45,가끔봄,균형형,취향형, Classic Drama Enthusiast|  Quirky Comedy Lover," I have consistently rated highly acclaimed dramas such as Schindler's List, Shawshank Redemption, and Howards End.|  I enjoy offbeat comedies like Austin Powers, Best in Show, and The Truman Show."
46,46,가끔봄,균형형,탐험형, Classic Animation Lover|  Action and Adventure Enthusiast," I have given high ratings to animated classics like Snow White and the Seven Dwarfs, Sleeping Beauty, and Alice in Wonderland.|  I enjoy movies with action-packed plots and thrilling adventures, as seen in films like Predator, Dragonheart, and Star Wars: Episode V - The Empire Strikes Back."
47,47,가끔봄,동조형,균형형, Classic Film Enthusiast|  Sci-Fi and Comedy Fan," I enjoy iconic movies from different eras, such as Rear Window and North by Northwest, which are considered classics in the film industry.|  I have a fondness for both science fiction films like Star Wars and E.T. the Extra-Terrestrial, as well as comedies like Meet the Parents and Animal House."
48,48,자주봄,균형형,균형형, Action and Adventure|  Classic Drama," I enjoy movies with thrilling action sequences and exciting adventures, such as Terminator 2: Judgment Day, Die Hard: With a Vengeance, and Indiana Jones and the Last Crusade.|  I appreciate classic dramas with compelling storytelling and emotional depth, like The Godfather, Citizen Kane, and The Elephant Man."
49,49,자주봄,균형형,취향형, Action-packed|  Thought-provoking," I enjoy movies with intense action sequences and thrilling plotlines, such as Terminator 2: Judgment Day, Total Recall, and Die Hard 2.|  I appreciate movies that delve into complex themes and provoke deep thinking, like Sophie's Choice, Malcolm X, and Saving Private Ryan."
50,50,자주봄,동조형,균형형, Action and Thriller|  Drama and Historical," I enjoy movies with intense action sequences and suspenseful plots, such as Predator, Terminator, and Jurassic Park.|  I appreciate movies that delve into deep emotional themes and historical events, like Schindler's List, Braveheart, and Gandhi."
51,51,가끔봄,동조형,취향형, Classic Film Enthusiast|  Crime Drama Fan," I have a strong appreciation for timeless movies such as ""Wizard of Oz"" (1939), ""City Lights"" (1931), and ""Children of Paradise"" (1945).|  I enjoy movies with intriguing plots and unexpected twists like ""Bonnie and Clyde"" (1967), ""Usual Suspects"" (1995), and ""Conversation, The"" (1974)."
52,52,가끔봄,균형형,취향형, Sci-fi enthusiast|  Action-adventure lover," I enjoy movies with futuristic settings, advanced technology, and extraterrestrial elements.|  I appreciate movies with thrilling action sequences, intense battles, and heroic characters."
53,53,가끔봄,독립형,취향형, Comedy Lover|  Romantic Comedy Enthusiast," I enjoy movies that make me laugh and have a light-hearted tone, such as Mrs. Doubtfire, Romy and Michele's High School Reunion, and Fools Rush In.|  I have a soft spot for romantic comedies like My Best Friend's Wedding, While You Were Sleeping, and The American President, which combine elements of romance and humor."
54,54,가끔봄,균형형,취향형, I have a preference for a mix of drama and romance films.|  I also enjoy action and thriller movies.," I enjoy movies like ""The Prince of Tides"", ""Gingerbread Man"", and ""Shall We Dance?"" which have strong emotional storylines and relationships at their core.|  Films like ""Die Hard"", ""Mission: Impossible"", and ""The Usual Suspects"" captivate me with their intense plots, suspenseful moments, and thrilling action sequences."
55,55,가끔봄,동조형,균형형, Action-packed|  Classic Romance," I enjoy movies with intense action sequences and thrilling plotlines, such as Die Hard 2, Aliens, and Gladiator.|  I have a soft spot for timeless romantic movies like Casablanca, Roman Holiday, and An Affair to Remember."
56,56,가끔봄,균형형,균형형, Action-packed and adventurous|  Classic and timeless," I enjoy movies with thrilling action sequences and exciting adventures, such as James Bond films and martial arts movies.|  I appreciate movies with enduring appeal and timeless storytelling, like historical dramas and iconic comedies."
57,57,가끔봄,균형형,탐험형, Classic and Timeless|  Diverse and Eclectic," I enjoy movies from different eras, appreciating the enduring quality of storytelling and filmmaking.|  I have a wide range of interests, from musicals to war dramas, showing a varied taste in movie genres."
58,58,가끔봄,균형형,균형형, Action-packed thrillers|  Dramatic and thought-provoking films," I enjoy movies with intense action sequences and suspenseful plots, such as ""The Fugitive"", ""Independence Day"", and ""Speed"".|  I appreciate movies that delve into complex human emotions and societal issues, like ""The Shawshank Redemption"", ""American Beauty"", and ""The Silence of the Lambs""."
59,59,자주봄,균형형,취향형, Comedy Lover|  Adventure Enthusiast," I enjoy movies that make me laugh and have a light-hearted tone, such as ""When Harry Met Sally..."" and ""Home Alone.""|  I appreciate movies that take me on exciting journeys and have elements of adventure, like ""Muppet Treasure Island"" and ""Galaxy Quest."""
60,60,자주봄,균형형,탐험형, Action-packed|  Classic Adventure," I enjoy movies with intense action sequences and thrilling plotlines, such as Fight Club, Lethal Weapon, and Gladiator.|  I have a soft spot for adventurous movies like Indiana Jones and the Last Crusade, Star Wars: Episode V - The Empire Strikes Back, and Raiders of the Lost Ark."
61,61,가끔봄,균형형,균형형, Eclectic|  Classic," I enjoy a wide range of genres, from romantic comedies like ""Pretty Woman"" to fantasy adventures like ""Star Wars: Episode I - The Phantom Menace"" and classic comedies like ""Monty Python and the Holy Grail.""|  I appreciate timeless films like ""Ghostbusters,"" ""Duck Soup,"" and ""The General,"" showcasing my love for iconic movies that have stood the test of time."
62,62,가끔봄,동조형,균형형," I enjoy a mix of action-packed thrillers and thought-provoking dramas.|  I have a taste for dark comedies and quirky, offbeat films."," I appreciate movies like ""Blade Runner,"" ""Independence Day,"" ""Enemy of the State,"" and ""JFK"" for their intense action sequences and suspenseful plots, while also enjoying films like ""Dog Day Afternoon,"" ""Deliverance,"" and ""House of Yes"" for their deep emotional impact and complex characters.|  I find movies like ""Fargo,"" ""Shakespeare in Love,"" ""A Fish Called Wanda,"" and ""Best in Show"" to be both hilarious and unconventional, while also enjoying darker films like ""Taxi Driver,"" ""Blue Velvet,"" and ""Pi"" for their unique storytelling and unconventional themes."
63,63,가끔봄,균형형,탐험형, I have a preference for classic comedies and action films.|  I am drawn to dramatic and suspenseful movies with a touch of romance.," I enjoy movies like Wayne's World, Ferris Bueller's Day Off, and Die Hard, which are a mix of humor and thrilling action sequences.|  Films like The Usual Suspects, Schindler's List, and Sleepless in Seattle captivate me with their intense storylines and emotional depth."
64,64,많이봄,동조형,균형형, I have a preference for classic and iconic movies.|  I gravitate towards intense and suspenseful thrillers.," I enjoy movies like ""Star Wars: Episode IV - A New Hope"" and ""E.T. the Extra-Terrestrial"" which are considered timeless classics in the film industry.|  I am drawn to movies like ""Cape Fear"" and ""The Silence of the Lambs"" that keep me on the edge of my seat with their gripping storylines and suspenseful atmosphere."
65,65,자주봄,동조형,취향형, Comedy Lover|  Classic Movie Enthusiast," I enjoy movies that make me laugh and have a light-hearted tone, such as Blazing Saddles, Happy Gilmore, and The Jerk.|  I appreciate timeless films with enduring appeal, like Mary Poppins, The Breakfast Club, and The Muppet Movie."
66,66,가끔봄,균형형,균형형, Classic Film Enthusiast|  Action-Adventure Fan," I enjoy a wide range of classic films spanning different decades, from old Hollywood classics to iconic 80s and 90s movies.|  I have a strong preference for action-packed movies with thrilling plots and exciting sequences, ranging from spy thrillers to sci-fi adventures."
67,67,자주봄,균형형,균형형, I enjoy a mix of adventure and fantasy movies.|  I have a preference for classic and iconic films.," I rated movies like Star Wars, Jumanji, and Toy Story highly, which are known for their adventurous and fantastical elements.|  I rated movies like Casablanca, E.T. the Extra-Terrestrial, and Titanic highly, which are considered classic and iconic in the film industry."
68,68,많이봄,동조형,균형형, I have a preference for classic and iconic films.|  I have a fondness for quirky and offbeat comedies.," I enjoy movies like Lawrence of Arabia, Citizen Kane, and It's a Wonderful Life, which are considered timeless classics in the history of cinema.|  I appreciate movies like Clueless, Airplane!, and Ferris Bueller's Day Off, which offer unique humor and unconventional storytelling."
69,69,가끔봄,동조형,탐험형, Eclectic taste|  Classic taste," I enjoy a wide range of genres from comedy to horror to drama, showing my appreciation for diverse storytelling styles.|  I have a fondness for timeless films that have stood the test of time, showcasing my appreciation for well-crafted and enduring cinematic works."
70,70,가끔봄,독립형,취향형, Romantic Comedy Enthusiast|  Classic Comedy Fan," I enjoy movies like Pretty Woman, Notting Hill, and It Could Happen to You that combine romance with humor in a light-hearted way.|  I appreciate timeless comedies like Arsenic and Old Lace, Back to the Future, and L.A. Story that never fail to make me laugh."
71,71,가끔봄,균형형,취향형, Classic and Iconic|  Diverse and Eclectic," I enjoy timeless movies that have stood the test of time and are considered classics in the film industry.|  I appreciate a wide range of genres and styles in movies, from intense dramas to quirky comedies."
72,72,자주봄,균형형,취향형, Action-packed|  Classic espionage," I enjoy movies with intense action sequences, thrilling plotlines, and high-stakes situations.|  I have a fondness for spy movies with intricate plots, international intrigue, and suspenseful espionage themes."
73,73,가끔봄,동조형,탐험형, Classic Film Enthusiast|  Action Movie Buff," I enjoy watching timeless classics such as Fantasia, Bambi, and The Bridge on the River Kwai.|  I have a soft spot for action-packed films like Aliens, Platoon, and Saving Private Ryan."
74,74,가끔봄,균형형,취향형, Classic Crime Drama|  Historical Drama," I enjoy movies with intricate plots, strong character development, and a focus on organized crime.|  I appreciate movies that are set in significant historical periods and tell powerful stories with emotional depth."
75,75,자주봄,동조형,균형형, I have a preference for classic and iconic films.|  I appreciate a mix of drama and suspense in movies., I enjoy movies that have stood the test of time and are considered timeless classics.|  I am drawn to films that keep me engaged with their intense and gripping storylines.
76,76,자주봄,동조형,탐험형, I have a preference for intense and thought-provoking dramas.|  I also have a fondness for classic action and adventure films.," I enjoy movies like Schindler's List, American History X, and Leaving Las Vegas that delve into deep and complex themes, leaving a lasting impact on me.|  Movies like Die Hard 2, Raiders of the Lost Ark, and Braveheart appeal to me with their thrilling plots, exciting action sequences, and heroic characters."
77,77,가끔봄,균형형,취향형, Sci-fi and Action|  Thriller and Drama," I enjoy movies with futuristic elements, thrilling action sequences, and imaginative storytelling.|  I appreciate movies that keep me on the edge of my seat with suspenseful plots and complex character dynamics."
78,78,자주봄,균형형,균형형, Action and Adventure|  Comedy and Fantasy," I enjoy movies with thrilling action sequences and adventurous storylines, such as Mission: Impossible, Indiana Jones and the Temple of Doom, and Total Recall.|  I appreciate movies that combine humor with fantastical elements, like The Princess Bride, Monty Python and the Holy Grail, and Back to the Future."
79,79,가끔봄,균형형,균형형, Classic Animation Lover|  Sci-Fi Enthusiast," I have given high ratings to animated classics like ""Dumbo,"" ""Bambi,"" and ""The Swan Princess.""|  I enjoy sci-fi movies such as ""Star Wars: Episode IV - A New Hope,"" ""Titan A.E.,"" and various ""Star Trek"" films."
80,80,가끔봄,균형형,취향형, Thriller and Suspense|  Romantic Comedy, I enjoy movies like Silence of the Lambs and Double Jeopardy that keep me on the edge of my seat with their suspenseful and thrilling plots.|  I have a soft spot for romantic comedies like Pretty Woman and 10 Things I Hate About You that combine humor with heartwarming love stories.
81,81,가끔봄,동조형,균형형, Action and Adventure|  Drama and Emotion," I enjoy movies like Independence Day, Top Gun, and Star Wars: Episode IV - A New Hope that are filled with thrilling action sequences and epic adventures.|  I appreciate movies like Life Is Beautiful, Return to Me, and The Sixth Sense that tug at my heartstrings and evoke strong emotions through their storytelling."
82,82,가끔봄,균형형,탐험형, Action and Adventure|  Classic and Timeless," I enjoy movies like Gladiator, Escape from New York, and Mission: Impossible which are filled with thrilling action sequences and exciting adventures.|  I have a soft spot for movies like White Christmas, North by Northwest, and Princess Bride, which have stood the test of time and continue to be beloved by audiences."
83,83,가끔봄,균형형,균형형, Action-packed Sci-Fi Lover|  Classic Adventure Enthusiast," I enjoy movies with thrilling action sequences and futuristic elements, such as Blade Runner, Independence Day, and Total Recall.|  I have a soft spot for timeless adventure films like Raiders of the Lost Ark, Indiana Jones and the Last Crusade, and Back to the Future."
84,84,가끔봄,독립형,취향형, I enjoy a mix of drama and comedy.|  I have a preference for coming-of-age and nostalgic films.," I appreciate movies like ""Girl, Interrupted"" and ""American Pie"" which offer a blend of emotional depth and humor.|  I find movies like ""Fast Times at Ridgemont High"" and ""Back to the Future"" resonate with me due to their themes of growing up and nostalgia."
85,85,자주봄,균형형,탐험형, Action-packed and thrilling|  Animated and whimsical," I enjoy movies with intense action sequences and suspenseful plots, such as Die Hard 2, Total Recall, and The Hunt for Red October.|  I have a soft spot for animated films with charming characters and imaginative storytelling, as seen in Toy Story, Wallace & Gromit, and Dumbo."
86,86,많이봄,균형형,탐험형, I have a preference for classic and iconic films.|  I have a liking for a mix of action and comedy genres.," I enjoy movies like ""Annie Hall,"" ""Blade Runner,"" and ""Alien"" which are considered classics in the film industry and have stood the test of time.|  I appreciate movies like ""Terminator 2: Judgment Day,"" ""Rush Hour,"" and ""Ace Ventura: Pet Detective"" that blend action-packed sequences with comedic elements, providing an entertaining and engaging viewing experience."
87,87,많이봄,균형형,취향형, Classic Drama|  Comedy Classics," I enjoy movies with deep emotional storylines and complex characters, such as In the Name of the Father and One True Thing.|  I have a soft spot for timeless comedies like Ferris Bueller's Day Off and Monty Python and the Holy Grail."
88,88,자주봄,동조형,취향형, Action-packed and thrilling|  Sci-fi and futuristic," I enjoy movies with intense action sequences and suspenseful plots, such as Die Hard: With a Vengeance, Independence Day, and Air Force One.|  I have a fascination with science fiction and futuristic themes, as seen in movies like Star Wars, Star Trek series, and Titan A.E."
89,89,가끔봄,균형형,취향형, Sci-fi and Action|  Romantic and Drama," I enjoy movies like Terminator 2, The Matrix, and Star Wars: Episode V that are filled with thrilling action sequences and futuristic elements.|  I appreciate movies like When Harry Met Sally... and Shakespeare in Love that explore deep emotional connections and relationships."
90,90,가끔봄,균형형,취향형, Sci-Fi and Action|  Comedy and Coming-of-Age," I enjoy movies with futuristic elements, space exploration, and thrilling action sequences.|  I appreciate films that make me laugh and resonate with themes of growing up and self-discovery."
91,91,가끔봄,동조형,취향형, Romantic and Feel-Good|  Fantasy and Comedy," I tend to enjoy movies with heartwarming storylines and romantic elements, such as Ever After: A Cinderella Story and Jerry Maguire.|  I have a soft spot for movies that transport me to magical worlds or make me laugh, like Mulan, Galaxy Quest, and Groundhog Day."
92,92,가끔봄,균형형,탐험형, I enjoy a mix of classic and modern films.|  I have a preference for animated and fantasy movies., I appreciate a variety of storytelling styles and filmmaking techniques.|  I am drawn to imaginative worlds and colorful characters in my movie choices.
93,93,자주봄,균형형,탐험형, Sci-Fi and Fantasy enthusiast|  Dark and Thrilling," I enjoy movies like Back to the Future, Alien, and The Matrix that transport me to different worlds with futuristic elements.|  I am drawn to movies like Seven, Fight Club, and Pulp Fiction that have intense and suspenseful storylines with unexpected twists."
94,94,자주봄,독립형,균형형, I have a preference for classic and timeless films.|  I appreciate a mix of drama and suspense in movies.," I enjoy movies like Casablanca, Schindler's List, and Lawrence of Arabia, which are considered classics in the film industry.|  I tend to enjoy films like Silence of the Lambs, L.A. Confidential, and The Shawshank Redemption, which combine elements of drama and suspense to keep me engaged."
