policy,rerank,avatar_id,taste,activity,conformity,diversity,page,recommended,watched,rating,feeling,ground_truth
MF,Prefer,25, Action and Thriller|  Comedy and Dark Humor,가끔봄,동조형,균형형,1,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Saving Private Ryan (1998)', 'L.A. Confidential (1997)']","['Star Wars: Episode VI - Return of the Jedi', 'Star Wars: Episode IV - A New Hope']","[5, 5]","['I felt exhilarated by the epic conclusion of the saga.', 'I was captivated by the beginning of this legendary space adventure.']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Saving Private Ryan (1998)', 'L.A. Confidential (1997)']"
MF,Prefer,25, Action and Thriller|  Comedy and Dark Humor,가끔봄,동조형,균형형,2,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)', 'Godfather: Part II, The (1974)', ""One Flew Over the Cuckoo's Nest (1975)""]",['Jurassic Park (1993)'],[5],"['I was captivated by the thrilling adventure and the excitement of dinosaurs, making it an unforgettable experience.']","['Jurassic Park (1993)', 'Godfather: Part II, The (1974)']"
MF,Prefer,26, Action-packed and Thrilling|  Comedy and Quirky,가끔봄,균형형,탐험형,1,"['American Beauty (1999)', 'Matrix, The (1999)', 'Braveheart (1995)', 'Jurassic Park (1993)']","['Matrix, The', 'Braveheart']","[5, 4]","['The thrilling action and mind-bending plot left me exhilarated and deeply engaged.  ', 'The powerful storytelling and historical context moved me, though it felt a bit lengthy at times.  ']","['Braveheart (1995)', 'Jurassic Park (1993)']"
MF,Prefer,27, I have a preference for classic and iconic films.|  I lean towards dark and twisted movies.,많이봄,균형형,탐험형,1,"['American Beauty (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Breakfast Club, The (1985)', 'Willy Wonka and the Chocolate Factory (1971)']","['American Beauty', 'Star Wars: Episode IV - A New Hope', 'Breakfast Club, The', 'Willy Wonka and the Chocolate Factory']","[4, 5, 4, 5]","[""The film's exploration of life's complexities left a profound impact on me."", 'The epic adventure and iconic characters filled me with excitement and nostalgia.', 'The relatable characters and heartfelt moments made me reflect on my own high school experiences.', 'The whimsical storytelling and imaginative visuals delighted my senses and sparked my imagination.']","['American Beauty (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Breakfast Club, The (1985)', 'Willy Wonka and the Chocolate Factory (1971)']"
MF,Prefer,27, I have a preference for classic and iconic films.|  I lean towards dark and twisted movies.,많이봄,균형형,탐험형,2,"['Raiders of the Lost Ark (1981)', 'Being John Malkovich (1999)', 'Shakespeare in Love (1998)', 'Braveheart (1995)']","['Raiders of the Lost Ark', 'Being John Malkovich', 'Shakespeare in Love', 'Braveheart']","[5, 4, 4, 5]","['An exhilarating adventure that kept me on the edge of my seat.', 'A thought-provoking and quirky experience that made me reflect on identity.', 'A beautifully crafted love story that resonated with my appreciation for romance and creativity.', 'A powerful and emotional journey that inspired me with its themes of freedom and courage.']","['Raiders of the Lost Ark (1981)', 'Being John Malkovich (1999)']"
MF,Prefer,27, I have a preference for classic and iconic films.|  I lean towards dark and twisted movies.,많이봄,균형형,탐험형,3,"['Ghostbusters (1984)', 'Lethal Weapon (1987)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Babe (1995)']","['Ghostbusters (1984)', ""One Flew Over the Cuckoo's Nest (1975)""]","[4, 5]","['I enjoyed the humor and creativity, making it a delightful watch.  ', 'The powerful performances and emotional depth left a lasting impression on me.  ']","['Ghostbusters (1984)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Babe (1995)']"
MF,Prefer,27, I have a preference for classic and iconic films.|  I lean towards dark and twisted movies.,많이봄,균형형,탐험형,4,"['L.A. Confidential (1997)', 'Toy Story (1995)', 'Princess Bride, The (1987)', 'Casablanca (1942)']","['L.A. Confidential (1997)', 'Princess Bride, The (1987)', 'Casablanca (1942)']","[5, 4, 5]","['The intricate plot and character development kept me on the edge of my seat.', 'A delightful blend of humor and adventure that left me smiling.', 'A beautifully crafted story that tugged at my heartstrings and captivated my mind.']",[]
MF,Prefer,28, Action-packed|  Sci-fi and Adventure,자주봄,균형형,취향형,1,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'X-Men (2000)', 'Terminator, The (1984)', 'Aliens (1986)']","['Star Wars: Episode V - The Empire Strikes Back', 'X-Men', 'Terminator, The', 'Aliens']","[5, 4, 5, 4]","['This movie exceeded my expectations with its epic storytelling and thrilling battles.', 'I enjoyed the unique characters and action-packed sequences, making it a solid watch.', 'The suspenseful plot and action kept me on the edge of my seat throughout.', 'The intense action and thrilling atmosphere made it an exhilarating experience.']","['X-Men (2000)', 'Terminator, The (1984)']"
MF,Prefer,28, Action-packed|  Sci-fi and Adventure,자주봄,균형형,취향형,2,"['Jaws (1975)', 'Independence Day (ID4) (1996)', 'Rock, The (1996)', 'Star Wars: Episode I - The Phantom Menace (1999)']","['Jaws (1975)', 'Independence Day (ID4) (1996)', 'Rock, The (1996)', 'Star Wars: Episode I - The Phantom Menace (1999)']","[5, 4, 4, 4]","['The suspense and adventure kept me on the edge of my seat.', 'The action and camaraderie among characters were thrilling and engaging.', 'The intense action and clever plot twists made it a captivating watch.', 'The blend of adventure and sci-fi elements was enjoyable, though not as impactful as the original trilogy.']",[]
MF,Prefer,28, Action-packed|  Sci-fi and Adventure,자주봄,균형형,취향형,3,"['Star Trek IV: The Voyage Home (1986)', 'Mad Max (1979)', 'Close Encounters of the Third Kind (1977)', '2001: A Space Odyssey (1968)']","['Star Trek IV: The Voyage Home', 'Mad Max', 'Close Encounters of the Third Kind', '2001: A Space Odyssey']","[4, 5, 4, 5]","['I found the time travel concept engaging and enjoyable.', 'The intense action and survival themes captivated me completely.', 'The mysterious encounters were intriguing and thought-provoking.', ""The film's exploration of humanity and space left a lasting impression on me.""]",[]
